loan_id,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,mths_since_last_major_derog
78,3.0,1/1/00,1.0,9.0,,6.0,0.0,6965,89.3,20.0,
79,1.0,2/1/97,0.0,23.0,,13.0,0.0,16156,74.5,30.0,
80,0.0,8/1/95,2.0,31.0,,11.0,0.0,3058,28.8,12.0,
81,0.0,5/1/98,0.0,,,9.0,0.0,22253,44.0,27.0,
82,4.0,3/1/82,5.0,15.0,,5.0,0.0,427,23.7,43.0,
83,0.0,10/1/05,0.0,,,5.0,0.0,1680,56.0,7.0,
84,0.0,7/1/02,0.0,55.0,,4.0,0.0,1333,83.3,19.0,
85,1.0,1/1/89,1.0,17.0,,8.0,0.0,2937,10.8,17.0,
86,0.0,10/1/01,1.0,42.0,,17.0,0.0,15077,46.7,28.0,
87,0.0,9/1/92,0.0,44.0,,5.0,0.0,3052,41.8,22.0,
88,0.0,12/1/95,0.0,,,11.0,0.0,18115,98.5,35.0,
89,0.0,6/1/01,7.0,78.0,88.0,11.0,1.0,3102,48.5,29.0,
90,0.0,9/1/04,0.0,,,3.0,0.0,4789,47.9,3.0,
91,0.0,7/1/06,2.0,,,7.0,0.0,1744,16.0,9.0,
92,1.0,5/1/04,1.0,19.0,,6.0,0.0,0,0.0,20.0,
93,0.0,8/1/91,0.0,38.0,,13.0,0.0,4039,14.8,38.0,
94,0.0,10/1/92,0.0,,,15.0,0.0,116150,54.6,34.0,
95,0.0,2/1/83,1.0,,,15.0,0.0,9877,56.8,22.0,
96,0.0,8/1/90,0.0,,,9.0,0.0,23039,26.6,36.0,
97,0.0,10/1/90,5.0,,98.0,9.0,1.0,11754,41.0,21.0,
98,2.0,1/1/99,0.0,17.0,,9.0,0.0,35294,95.9,49.0,
99,0.0,2/1/01,0.0,54.0,,10.0,0.0,7796,32.2,27.0,
100,0.0,1/1/00,0.0,,,11.0,0.0,8937,20.8,17.0,
101,0.0,4/1/04,0.0,,,8.0,0.0,21507,68.5,8.0,
102,0.0,10/1/06,5.0,,,8.0,0.0,1939,6.2,9.0,
103,0.0,1/1/93,3.0,,113.0,7.0,1.0,1284,6.3,22.0,
104,0.0,7/1/06,0.0,,,5.0,0.0,7135,46.6,6.0,
105,0.0,5/1/01,0.0,,,7.0,0.0,1252,4.5,12.0,
106,0.0,5/1/97,0.0,,,5.0,0.0,13923,77.3,12.0,
107,0.0,12/1/98,3.0,,110.0,9.0,1.0,7976,47.2,15.0,
108,0.0,7/1/00,1.0,27.0,,3.0,0.0,192,48.0,5.0,
109,0.0,6/1/96,4.0,41.0,,9.0,0.0,8747,74.8,16.0,
110,0.0,5/1/78,1.0,48.0,,20.0,0.0,22400,19.9,62.0,
111,0.0,11/1/95,0.0,,,6.0,0.0,20964,35.6,29.0,
112,0.0,8/1/99,0.0,,,4.0,0.0,17588,93.1,13.0,
113,0.0,5/1/03,1.0,,,9.0,0.0,30215,49.6,17.0,
114,0.0,10/1/00,3.0,,,10.0,0.0,10160,59.1,24.0,
115,0.0,2/1/98,4.0,,,6.0,0.0,22558,76.5,11.0,
116,0.0,1/1/94,8.0,,,10.0,0.0,31830,41.3,28.0,
117,0.0,4/1/04,0.0,,,5.0,0.0,12653,48.9,14.0,
118,0.0,1/1/96,1.0,,,11.0,0.0,25822,71.1,27.0,
119,0.0,5/1/95,0.0,43.0,87.0,10.0,1.0,9331,79.1,24.0,
120,0.0,10/1/70,1.0,38.0,,26.0,0.0,26676,33.1,53.0,
121,0.0,8/1/87,1.0,,,17.0,0.0,38121,59.6,35.0,
122,0.0,8/1/85,3.0,,,6.0,0.0,28648,61.0,26.0,
123,0.0,1/1/88,0.0,,,13.0,0.0,13901,29.8,33.0,
124,0.0,12/1/96,1.0,78.0,,12.0,0.0,16865,70.0,32.0,
125,0.0,10/1/01,3.0,,93.0,11.0,1.0,14658,68.2,27.0,
126,0.0,3/1/01,0.0,,,5.0,0.0,20791,94.5,10.0,
127,0.0,8/1/97,0.0,28.0,,4.0,0.0,28824,39.2,7.0,
128,1.0,6/1/85,0.0,16.0,,5.0,0.0,20042,50.9,34.0,
129,0.0,1/1/05,0.0,,,7.0,0.0,7686,78.4,10.0,
130,0.0,9/1/99,1.0,56.0,,6.0,0.0,11927,75.5,19.0,
131,0.0,2/1/01,1.0,,,8.0,0.0,14667,69.2,15.0,
132,0.0,3/1/99,5.0,,,8.0,0.0,62681,25.9,25.0,
133,0.0,7/1/07,1.0,,,5.0,0.0,6526,94.6,8.0,
134,1.0,7/1/91,6.0,6.0,,15.0,0.0,111611,17.4,24.0,
135,0.0,5/1/95,1.0,37.0,,7.0,0.0,5437,22.4,41.0,
136,0.0,8/1/00,0.0,,,16.0,0.0,12318,78.0,61.0,
137,0.0,9/1/94,0.0,,,8.0,0.0,10572,53.9,18.0,
138,1.0,5/1/98,0.0,5.0,,3.0,0.0,1094,31.3,16.0,
139,0.0,9/1/86,1.0,26.0,,11.0,0.0,5205,13.4,39.0,
140,0.0,9/1/90,1.0,,,10.0,0.0,12147,67.5,18.0,
141,0.0,8/1/99,0.0,,,13.0,0.0,6024,45.3,24.0,
142,0.0,8/1/84,2.0,,101.0,12.0,1.0,18071,65.5,24.0,
143,0.0,8/1/00,0.0,,,4.0,0.0,17596,96.2,8.0,
144,0.0,4/1/05,2.0,,,11.0,0.0,72,0.6,12.0,
145,0.0,5/1/01,5.0,,,7.0,0.0,9433,76.3,13.0,
146,0.0,1/1/95,1.0,,,16.0,0.0,13931,75.8,24.0,
147,0.0,8/1/02,1.0,,,6.0,0.0,1292,4.3,8.0,
148,0.0,9/1/85,0.0,,,9.0,0.0,61165,91.3,28.0,
149,0.0,2/1/02,1.0,,,4.0,0.0,7187,92.1,21.0,
150,1.0,4/1/02,3.0,17.0,,7.0,0.0,3641,79.2,19.0,
151,0.0,12/1/00,1.0,,,8.0,0.0,10290,85.0,12.0,
152,0.0,3/1/97,1.0,36.0,77.0,13.0,1.0,6347,81.6,30.0,
153,0.0,6/1/00,0.0,,,12.0,0.0,6790,52.6,29.0,
154,0.0,11/1/94,2.0,,,8.0,0.0,33844,85.9,27.0,
155,0.0,11/1/84,2.0,,,25.0,0.0,9669,16.6,37.0,
156,0.0,1/1/97,2.0,,,9.0,0.0,5049,48.5,12.0,
157,0.0,8/1/97,2.0,44.0,,7.0,0.0,12340,71.3,46.0,
158,0.0,11/1/83,0.0,,,13.0,0.0,60376,47.9,27.0,
159,0.0,11/1/05,0.0,,,3.0,0.0,603,6.2,4.0,
160,0.0,10/1/86,7.0,,,13.0,0.0,1207359,56.0,33.0,
161,0.0,7/1/04,3.0,,,8.0,0.0,8437,63.0,14.0,
162,0.0,2/1/70,0.0,28.0,,21.0,0.0,16621,20.6,50.0,
163,0.0,12/1/99,0.0,,,12.0,0.0,6577,51.0,20.0,
164,0.0,11/1/98,2.0,,,6.0,0.0,17554,57.0,8.0,
165,0.0,11/1/00,0.0,81.0,,6.0,0.0,7090,73.1,10.0,
166,0.0,4/1/93,1.0,31.0,,9.0,0.0,58222,39.0,38.0,
167,0.0,1/1/87,0.0,81.0,,4.0,0.0,13855,42.5,21.0,
168,0.0,3/1/06,0.0,,,6.0,0.0,802,0.9,9.0,
169,0.0,10/1/94,0.0,,,18.0,0.0,25136,36.2,41.0,
170,0.0,12/1/95,0.0,47.0,,6.0,0.0,18352,61.2,19.0,
171,0.0,7/1/00,4.0,,,11.0,0.0,117200,91.2,16.0,
172,0.0,4/1/97,5.0,,,4.0,0.0,1293,39.2,17.0,
173,0.0,10/1/04,1.0,,,7.0,0.0,2980,31.7,10.0,
174,0.0,2/1/06,0.0,,,4.0,0.0,2797,93.2,8.0,
175,0.0,4/1/02,0.0,,,10.0,0.0,624,3.5,33.0,
176,1.0,3/1/86,0.0,13.0,,5.0,0.0,5742,55.2,18.0,
177,0.0,3/1/94,2.0,,,14.0,0.0,3351,0.4,47.0,
178,0.0,8/1/84,1.0,,,9.0,0.0,6367,37.3,14.0,
179,0.0,4/1/71,1.0,,,29.0,0.0,29680,45.8,41.0,
180,1.0,7/1/01,1.0,18.0,,17.0,0.0,5739,26.7,28.0,
181,0.0,9/1/89,3.0,39.0,0.0,13.0,0.0,24280,93.4,38.0,
182,0.0,1/1/98,3.0,82.0,63.0,8.0,1.0,5049,78.9,17.0,
183,0.0,8/1/01,0.0,,,8.0,0.0,893,38.8,11.0,
184,0.0,12/1/03,0.0,,,7.0,0.0,1741,18.7,15.0,
185,0.0,4/1/97,5.0,,,15.0,0.0,26561,91.5,39.0,
186,0.0,12/1/89,0.0,79.0,,5.0,0.0,11006,65.1,36.0,
187,0.0,3/1/98,6.0,,,14.0,0.0,10976,68.6,22.0,
188,0.0,3/1/90,1.0,,,10.0,0.0,13316,33.3,34.0,
189,0.0,10/1/98,0.0,,,9.0,0.0,18550,46.4,24.0,
190,0.0,8/1/79,0.0,,,15.0,0.0,52856,74.7,39.0,
191,0.0,1/1/91,1.0,,,10.0,0.0,17312,60.3,15.0,
192,0.0,11/1/05,0.0,,,9.0,0.0,7496,85.2,13.0,
193,0.0,10/1/03,0.0,69.0,38.0,10.0,1.0,10862,71.6,22.0,
194,1.0,10/1/01,2.0,23.0,,11.0,0.0,8911,53.4,19.0,
195,0.0,10/1/93,1.0,,,13.0,0.0,10461,64.6,55.0,
196,0.0,4/1/90,0.0,,,14.0,0.0,58504,30.9,34.0,
197,1.0,5/1/05,1.0,22.0,,12.0,0.0,6347,70.0,16.0,
198,0.0,10/1/03,0.0,34.0,,7.0,0.0,2707,31.5,13.0,
199,0.0,1/1/91,0.0,,,5.0,0.0,50638,8.5,8.0,
200,0.0,12/1/95,1.0,76.0,,12.0,0.0,58179,84.2,46.0,
201,0.0,11/1/98,0.0,,,8.0,0.0,7062,50.1,22.0,
202,0.0,9/1/90,3.0,,,10.0,0.0,18131,81.1,25.0,
203,0.0,6/1/95,0.0,,,5.0,0.0,6940,31.7,7.0,
204,0.0,7/1/87,0.0,,,9.0,0.0,9066,63.8,18.0,
205,0.0,9/1/99,2.0,,,13.0,0.0,42470,82.6,17.0,
206,0.0,3/1/04,2.0,,,8.0,0.0,18364,75.6,16.0,
207,2.0,10/1/99,0.0,5.0,,5.0,0.0,1919,9.7,17.0,
208,0.0,5/1/92,1.0,24.0,,19.0,0.0,35178,50.3,34.0,
209,0.0,6/1/94,0.0,73.0,110.0,9.0,1.0,5074,35.2,34.0,
210,0.0,8/1/92,0.0,,,7.0,0.0,27750,40.3,18.0,
211,0.0,12/1/94,0.0,34.0,,16.0,0.0,15847,45.5,43.0,
212,0.0,9/1/04,1.0,,,7.0,0.0,370,2.1,8.0,
213,0.0,7/1/95,1.0,32.0,,14.0,0.0,3294,70.1,30.0,
214,0.0,10/1/99,0.0,26.0,,10.0,0.0,10026,77.7,23.0,
215,0.0,3/1/98,0.0,0.0,0.0,10.0,0.0,18579,82.9,20.0,
216,0.0,3/1/70,2.0,,,7.0,0.0,2834,4.8,27.0,
217,0.0,12/1/99,2.0,,,17.0,0.0,7497,12.1,30.0,
218,0.0,8/1/98,0.0,29.0,,8.0,0.0,1268,31.7,19.0,
219,0.0,4/1/82,5.0,33.0,,9.0,0.0,4187,63.4,13.0,
220,0.0,9/1/96,0.0,,,7.0,0.0,8619,57.1,15.0,
221,0.0,12/1/01,2.0,49.0,,7.0,0.0,3628,26.1,13.0,
222,0.0,11/1/94,0.0,,,9.0,0.0,11817,15.7,42.0,
223,0.0,6/1/03,0.0,,,3.0,0.0,11,0.4,20.0,
224,0.0,3/1/03,0.0,,,7.0,0.0,6775,97.7,7.0,
225,1.0,1/1/87,0.0,23.0,,4.0,0.0,8828,58.9,22.0,
226,0.0,2/1/01,1.0,,116.0,11.0,1.0,5045,71.1,16.0,
227,0.0,1/1/88,3.0,,,26.0,0.0,24199,46.8,63.0,
228,1.0,1/1/93,1.0,15.0,,24.0,0.0,9301,14.9,37.0,
229,0.0,6/1/95,1.0,61.0,101.0,7.0,1.0,6286,48.7,20.0,
230,0.0,8/1/00,1.0,24.0,0.0,13.0,0.0,5967,19.8,17.0,
231,1.0,7/1/91,1.0,12.0,,14.0,0.0,3565,79.2,30.0,
232,0.0,8/1/05,0.0,,,6.0,0.0,0,,6.0,
233,0.0,11/1/96,0.0,,,16.0,0.0,12007,39.5,30.0,
234,0.0,10/1/01,1.0,43.0,,12.0,0.0,17411,64.0,21.0,
235,0.0,2/1/94,1.0,37.0,,13.0,0.0,6725,70.4,28.0,
236,0.0,4/1/96,0.0,36.0,,8.0,0.0,30862,58.5,25.0,
237,0.0,1/1/07,1.0,,,6.0,0.0,10569,67.3,10.0,
238,1.0,10/1/91,0.0,3.0,,11.0,0.0,870,4.1,34.0,
239,0.0,7/1/00,1.0,,,13.0,0.0,10521,45.3,27.0,
240,0.0,3/1/01,2.0,58.0,,10.0,0.0,35245,57.3,16.0,
241,3.0,11/1/99,0.0,5.0,,6.0,0.0,301,13.1,22.0,
242,0.0,2/1/05,0.0,,,6.0,0.0,10533,49.0,8.0,
243,0.0,4/1/99,1.0,,,11.0,0.0,10526,19.7,27.0,
244,0.0,6/1/96,3.0,,116.0,6.0,1.0,714,10.1,15.0,
245,0.0,11/1/98,7.0,,,12.0,0.0,21166,72.7,37.0,
246,0.0,6/1/01,1.0,49.0,,10.0,0.0,7708,48.5,15.0,
247,0.0,1/1/94,7.0,39.0,,5.0,0.0,15306,51.2,35.0,
248,0.0,1/1/92,0.0,,,7.0,0.0,37784,70.1,13.0,
249,0.0,5/1/95,3.0,,56.0,7.0,1.0,5305,16.8,16.0,
250,0.0,11/1/93,3.0,33.0,,10.0,0.0,4836,62.0,29.0,
251,0.0,6/1/00,1.0,24.0,,11.0,0.0,10513,32.0,20.0,
252,0.0,7/1/00,0.0,,,10.0,0.0,3089,23.8,26.0,
253,0.0,7/1/98,1.0,79.0,,14.0,0.0,8533,18.0,52.0,
254,0.0,9/1/03,2.0,,,6.0,0.0,1801,62.1,12.0,
255,0.0,12/1/94,0.0,,,6.0,0.0,0,0.0,30.0,
256,0.0,3/1/92,0.0,,,6.0,0.0,271,1.1,16.0,
257,1.0,2/1/94,0.0,8.0,,22.0,0.0,79747,28.1,35.0,
258,0.0,9/1/03,1.0,41.0,,19.0,0.0,12806,38.6,22.0,
259,0.0,11/1/94,1.0,72.0,,7.0,0.0,15533,79.3,14.0,
260,0.0,1/1/01,1.0,,,12.0,0.0,1742,29.5,21.0,
261,0.0,12/1/95,0.0,,,10.0,0.0,22617,91.2,23.0,
262,0.0,11/1/90,0.0,,,15.0,0.0,73257,60.0,32.0,
263,0.0,10/1/93,2.0,70.0,95.0,13.0,1.0,5816,56.5,40.0,
264,0.0,7/1/01,3.0,,101.0,6.0,1.0,2411,86.1,11.0,
265,0.0,6/1/98,1.0,43.0,,15.0,0.0,5103,64.6,25.0,
266,1.0,4/1/00,0.0,4.0,,11.0,0.0,13657,29.9,25.0,
267,0.0,8/1/97,0.0,,101.0,7.0,1.0,5879,70.8,32.0,
268,0.0,10/1/96,0.0,,,7.0,0.0,3199,7.4,23.0,
269,1.0,9/1/06,0.0,20.0,,4.0,0.0,1730,41.2,4.0,
270,0.0,9/1/97,3.0,44.0,,8.0,0.0,18158,55.2,28.0,
271,0.0,10/1/01,1.0,70.0,,3.0,0.0,3467,47.5,8.0,
272,0.0,10/1/95,0.0,,,8.0,0.0,16843,56.9,14.0,
273,1.0,3/1/00,3.0,23.0,,13.0,0.0,11969,36.3,25.0,
274,0.0,7/1/06,1.0,0.0,0.0,2.0,0.0,1069,42.8,3.0,
275,0.0,9/1/72,3.0,,,16.0,0.0,5163,4.0,35.0,
276,0.0,1/1/87,0.0,68.0,68.0,8.0,1.0,15260,77.9,16.0,
277,0.0,6/1/94,1.0,48.0,,17.0,0.0,6060,35.9,37.0,
278,0.0,12/1/00,0.0,59.0,,6.0,0.0,22290,78.8,20.0,
279,0.0,1/1/97,0.0,,,14.0,0.0,19639,74.7,33.0,
280,0.0,10/1/96,0.0,,,7.0,0.0,5275,42.2,11.0,
281,0.0,10/1/00,0.0,49.0,,16.0,0.0,5896,57.8,39.0,
282,0.0,12/1/87,0.0,,,12.0,0.0,9193,28.5,15.0,
283,0.0,3/1/00,6.0,80.0,,7.0,0.0,3312,10.4,12.0,
284,0.0,8/1/99,0.0,,,10.0,0.0,0,0.0,38.0,
285,0.0,9/1/00,0.0,24.0,,2.0,0.0,0,0.0,14.0,
286,0.0,11/1/05,0.0,31.0,,15.0,0.0,3962,32.2,18.0,
287,0.0,8/1/05,0.0,,,7.0,0.0,5871,77.9,17.0,
288,0.0,7/1/92,3.0,58.0,,5.0,0.0,4869,74.2,28.0,
289,0.0,7/1/96,0.0,,,11.0,0.0,20948,65.3,28.0,
290,0.0,9/1/05,0.0,,,3.0,0.0,7166,82.4,4.0,
291,0.0,4/1/95,0.0,,,4.0,0.0,11817,55.5,8.0,
292,0.0,12/1/90,1.0,63.0,,10.0,0.0,11356,78.7,28.0,
293,0.0,10/1/93,0.0,,96.0,4.0,1.0,9222,78.8,18.0,
294,0.0,11/1/88,0.0,,,11.0,0.0,13213,97.1,18.0,
295,1.0,8/1/01,0.0,16.0,,10.0,0.0,48,0.4,28.0,
296,0.0,4/1/07,0.0,28.0,,6.0,0.0,5216,68.6,9.0,
297,0.0,12/1/97,0.0,,,7.0,0.0,4688,16.4,20.0,
298,0.0,12/1/82,0.0,,,15.0,0.0,4419,39.5,20.0,
299,0.0,10/1/97,0.0,,,9.0,0.0,37691,90.4,20.0,
300,0.0,4/1/04,2.0,52.0,,11.0,0.0,1219,7.2,22.0,
301,0.0,6/1/04,5.0,,,13.0,0.0,11196,31.9,19.0,
302,0.0,12/1/00,0.0,,,7.0,0.0,15103,78.3,12.0,
303,0.0,12/1/99,0.0,78.0,,10.0,0.0,10638,61.8,26.0,
304,0.0,9/1/97,0.0,,,9.0,0.0,16231,55.1,36.0,
305,2.0,9/1/80,0.0,6.0,,23.0,0.0,23611,32.7,42.0,
306,0.0,10/1/99,4.0,,,5.0,0.0,18995,62.9,12.0,
307,0.0,12/1/98,1.0,,,16.0,0.0,38836,91.6,40.0,
308,0.0,6/1/96,0.0,,,11.0,0.0,13017,39.4,21.0,
309,0.0,1/1/96,1.0,,,7.0,0.0,11864,71.0,9.0,
310,0.0,12/1/02,0.0,30.0,,5.0,0.0,27265,64.5,10.0,
311,0.0,11/1/00,0.0,,,6.0,0.0,2886,11.6,11.0,
312,0.0,1/1/89,1.0,,,8.0,0.0,21747,58.0,21.0,
313,0.0,5/1/03,1.0,,,13.0,0.0,13365,50.2,21.0,
314,0.0,6/1/97,1.0,,,11.0,0.0,21296,75.3,33.0,
315,0.0,10/1/90,3.0,,,12.0,0.0,21233,57.1,16.0,
316,0.0,9/1/95,3.0,,,5.0,0.0,59,1.3,14.0,
317,1.0,8/1/05,1.0,19.0,,4.0,0.0,843,27.2,8.0,
318,0.0,3/1/82,3.0,,72.0,6.0,2.0,6028,38.9,12.0,
319,0.0,8/1/98,1.0,69.0,,5.0,0.0,7256,74.8,24.0,
320,3.0,5/1/99,1.0,5.0,,4.0,0.0,756,84.0,16.0,
321,0.0,1/1/91,3.0,,,7.0,0.0,11243,83.9,14.0,
322,0.0,3/1/92,2.0,46.0,100.0,9.0,1.0,892,23.5,15.0,
323,0.0,12/1/05,0.0,,,5.0,0.0,5365,78.9,5.0,
324,0.0,8/1/98,1.0,,,10.0,0.0,9467,32.7,33.0,
325,0.0,1/1/92,4.0,,,10.0,0.0,12333,11.2,41.0,
326,0.0,1/1/91,2.0,,,9.0,0.0,7415,13.8,17.0,
327,1.0,6/1/91,1.0,22.0,,14.0,0.0,5199,12.5,29.0,
328,0.0,1/1/04,0.0,,,5.0,0.0,1852,84.2,13.0,
329,0.0,5/1/96,0.0,,,11.0,0.0,26090,23.0,22.0,
330,0.0,12/1/89,0.0,37.0,,5.0,0.0,9044,93.2,12.0,
331,0.0,6/1/00,0.0,,,5.0,0.0,5272,60.6,14.0,
332,0.0,2/1/94,1.0,81.0,,6.0,0.0,19098,78.0,20.0,
333,0.0,6/1/06,0.0,,,4.0,0.0,1266,30.9,7.0,
334,0.0,8/1/04,0.0,,85.0,4.0,1.0,2398,74.9,6.0,
335,0.0,10/1/92,1.0,,,11.0,0.0,7757,93.0,24.0,
336,1.0,6/1/96,1.0,21.0,,9.0,0.0,46031,77.4,38.0,
337,0.0,5/1/04,0.0,,,4.0,0.0,8757,67.9,14.0,
338,0.0,7/1/90,0.0,,,18.0,0.0,24455,58.9,52.0,
339,1.0,10/1/99,0.0,23.0,102.0,4.0,1.0,1029,85.7,22.0,
340,0.0,12/1/95,4.0,,,10.0,0.0,24391,72.4,66.0,
341,1.0,10/1/02,0.0,16.0,,8.0,0.0,7034,67.0,15.0,
342,0.0,10/1/96,1.0,,104.0,11.0,1.0,8215,57.1,28.0,
343,0.0,6/1/00,0.0,,,10.0,0.0,7219,66.2,23.0,
344,0.0,1/1/99,1.0,,116.0,4.0,1.0,8548,54.4,15.0,
345,0.0,12/1/99,0.0,,,14.0,0.0,887,5.7,24.0,
346,0.0,11/1/86,1.0,36.0,,10.0,0.0,46226,97.9,31.0,
347,0.0,11/1/95,0.0,52.0,,7.0,0.0,52275,33.7,28.0,
348,0.0,4/1/02,7.0,,,10.0,0.0,1786,4.3,40.0,
349,1.0,6/1/94,2.0,14.0,116.0,18.0,1.0,5868,19.7,33.0,
350,0.0,4/1/97,1.0,,,7.0,0.0,3775,13.0,17.0,
351,0.0,8/1/82,3.0,,,12.0,0.0,8394,17.4,50.0,
